,id,type,special_status,notes
398,Pocillopora_meandrina_HIv1___TS.g29722.t1,gene,NA,NA
399,Pocillopora_meandrina_HIv1___RNAseq.g18923.t1,gene,NA,NA
400,Pocillopora_meandrina_HIv1___RNAseq.g18965.t1,gene,NA,NA
401,Pocillopora_meandrina_HIv1___RNAseq.g6552.t1,gene,NA,NA
402,Pocillopora_meandrina_HIv1___TS.g1655.t1,gene,NA,NA
403,Pocillopora_meandrina_HIv1___TS.g1697.t1,gene,NA,NA
404,Pocillopora_meandrina_HIv1___RNAseq.g6750.t1,gene,NA,NA
405,Pocillopora_meandrina_HIv1___TS.g505.t1,gene,NA,NA
406,Pocillopora_meandrina_HIv1___RNAseq.g6772.t1,gene,NA,NA
407,Pocillopora_meandrina_HIv1___RNAseq.g16130.t1,gene,NA,NA
408,Pocillopora_meandrina_HIv1___RNAseq.g16481.t1,gene,NA,NA
409,Pocillopora_meandrina_HIv1___RNAseq.g15519.t1,gene,NA,NA
410,Pocillopora_meandrina_HIv1___RNAseq.8254_t,gene,NA,NA
411,Pocillopora_meandrina_HIv1___RNAseq.g24763.t1,gene,NA,NA
412,Pocillopora_meandrina_HIv1___RNAseq.g23824.t1,gene,NA,NA
413,Pocillopora_meandrina_HIv1___RNAseq.g24080.t2,gene,NA,NA
414,Pocillopora_meandrina_HIv1___RNAseq.g24083.t1,gene,NA,NA
