CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
15	37877	435428	8.00	473305
16	39021	424127	8.43	463148
17	35493	417789	7.83	453282
18	35532	411117	7.96	446649
19	35172	397487	8.13	432659
20	34517	401124	7.92	435641
21	34618	387011	8.21	421629
22	33194	381495	8.00	414689
23	32581	370557	8.08	403138
24	31497	367254	7.90	398751
25	30478	350947	7.99	381425
26	29660	344811	7.92	374471
27	29720	339909	8.04	369629
28	29333	335930	8.03	365263
29	28209	324432	8.00	352641
30	27271	317457	7.91	344728
31	26591	309137	7.92	335728
32	26540	306494	7.97	333034
33	25592	300017	7.86	325609
34	24534	291232	7.77	315766
35	24106	287566	7.73	311672
36	23802	285677	7.69	309479
37	23052	273414	7.78	296466
38	22342	267039	7.72	289381
39	22216	265631	7.72	287847
40	21004	258177	7.52	279181
41	21082	251302	7.74	272384
42	19899	244929	7.51	264828
43	19920	240617	7.65	260537
44	19446	240139	7.49	259585
45	18933	231847	7.55	250780
46	18611	225490	7.62	244101
47	17973	221593	7.50	239566
48	17911	220119	7.52	238030
49	17195	211742	7.51	228937
50	16875	208836	7.48	225711
51	16400	204917	7.41	221317
52	16083	202367	7.36	218450
53	15686	195112	7.44	210798
54	15146	189756	7.39	204902
55	14952	186557	7.42	201509
56	14783	185927	7.37	200710
57	14542	180048	7.47	194590
58	14300	175327	7.54	189627
59	14151	173826	7.53	187977
60	13675	172743	7.34	186418
61	13275	164814	7.45	178089
62	13125	161675	7.51	174800
63	12651	158155	7.41	170806
64	12617	156404	7.46	169021
65	12166	150353	7.49	162519
66	12202	147352	7.65	159554
67	11629	144426	7.45	156055
68	11844	145025	7.55	156869
69	11396	138278	7.61	149674
70	11034	134452	7.58	145486
71	10637	132717	7.42	143354
72	10569	131522	7.44	142091
73	10557	126297	7.71	136854
74	10039	122900	7.55	132939
75	9835	120904	7.52	130739
76	9604	121061	7.35	130665
77	9702	115555	7.75	125257
78	9361	112961	7.65	122322
79	9081	111064	7.56	120145
80	8945	109154	7.57	118099
81	9061	105427	7.91	114488
82	8786	102926	7.86	111712
83	8475	101614	7.70	110089
84	8547	101485	7.77	110032
85	8248	96132	7.90	104380
86	8109	93924	7.95	102033
87	7783	93364	7.69	101147
88	7593	91433	7.67	99026
89	7553	88229	7.89	95782
90	7244	85932	7.77	93176
91	7072	84433	7.73	91505
92	6955	84017	7.65	90972
93	6856	80337	7.86	87193
94	6650	78709	7.79	85359
95	6515	77258	7.78	83773
96	6313	76824	7.59	83137
97	6185	74195	7.69	80380
98	6159	71841	7.90	78000
99	5946	70709	7.76	76655
100	5861	69711	7.76	75572
101	5778	66907	7.95	72685
102	5748	65477	8.07	71225
103	5522	64820	7.85	70342
104	5528	64271	7.92	69799
105	5489	61807	8.16	67296
106	5272	60044	8.07	65316
107	5256	59368	8.13	64624
108	5056	58761	7.92	63817
109	4859	55970	7.99	60829
110	4814	54867	8.07	59681
111	4656	53945	7.95	58601
112	4726	53134	8.17	57860
113	4562	51729	8.10	56291
114	4375	50012	8.04	54387
115	4214	49512	7.84	53726
116	4206	49167	7.88	53373
117	4220	47076	8.23	51296
118	3928	45820	7.90	49748
119	3957	44976	8.09	48933
120	4067	44883	8.31	48950
121	3857	43122	8.21	46979
122	3917	43040	8.34	46957
123	3624	41943	7.95	45567
124	3543	41337	7.89	44880
125	3518	39748	8.13	43266
126	3377	39303	7.91	42680
127	3535	38249	8.46	41784
128	3328	38003	8.05	41331
129	3336	36250	8.43	39586
130	3271	35468	8.44	38739
131	3212	35185	8.37	38397
132	3151	35124	8.23	38275
133	3118	33505	8.51	36623
134	3030	32838	8.45	35868
135	2932	32663	8.24	35595
136	2918	31902	8.38	34820
137	2737	31076	8.09	33813
138	2795	30342	8.43	33137
139	2706	30047	8.26	32753
140	2641	29787	8.14	32428
141	2511	28338	8.14	30849
142	2453	27428	8.21	29881
143	2547	27269	8.54	29816
144	2473	26869	8.43	29342
145	2398	25691	8.54	28089
146	2309	25773	8.22	28082
147	2325	25362	8.40	27687
148	2182	24794	8.09	26976
149	2133	23859	8.21	25992
150	1988	22612	8.08	24600
151	1470	18580	7.33	20050

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	159068	1391549	10.26	1550617
2	85849	517744	14.22	603593
3	73199	658264	10.01	731463
4	54079	597825	8.30	651904
5	28046	783074	3.46	811120
6	20386	1009918	1.98	1030304
7	17320	586392	2.87	603712
8	18646	562121	3.21	580767
9	16850	561805	2.91	578655
10	24856	528635	4.49	553491
11	40063	519744	7.16	559807
12	15576	517007	2.92	532583
13	14878	523602	2.76	538480
14	12632	508247	2.43	520879
15	13553	496643	2.66	510196
16	16424	479757	3.31	496181
17	11132	472317	2.30	483449
18	11534	473260	2.38	484794
19	11688	451170	2.53	462858
20	12167	436471	2.71	448638
21	10427	429700	2.37	440127
22	9481	424209	2.19	433690
23	9177	416327	2.16	425504
24	8534	408581	2.05	417115
25	8305	401983	2.02	410288
26	7829	391389	1.96	399218
27	7625	381579	1.96	389204
28	7782	373409	2.04	381191
29	7781	363333	2.10	371114
30	6568	355456	1.81	362024
31	6342	355364	1.75	361706
32	6185	343379	1.77	349564
33	5743	339489	1.66	345232
34	5506	333171	1.63	338677
35	5349	326137	1.61	331486
36	4895	318923	1.51	323818
37	5053	312143	1.59	317196
38	5520	301491	1.80	307011
39	4375	299624	1.44	303999
40	4188	295153	1.40	299341
41	3939	286139	1.36	290078
42	3772	285079	1.31	288851
43	3658	276164	1.31	279822
44	3389	269951	1.24	273340
45	3224	265995	1.20	269219
46	3342	258683	1.28	262025
47	3788	253798	1.47	257586
48	2870	251001	1.13	253871
49	2974	246905	1.19	249879
50	2710	239722	1.12	242432
51	2536	237191	1.06	239727
52	2408	232569	1.02	234977
53	2324	226130	1.02	228454
54	2125	221009	0.95	223134
55	2328	216914	1.06	219242
56	2908	212519	1.35	215427
57	1963	209172	0.93	211135
58	1938	207049	0.93	208987
59	1900	199762	0.94	201662
60	1769	196600	0.89	198369
61	1712	191476	0.89	193188
62	1638	186421	0.87	188059
63	1608	183349	0.87	184957
64	1735	180706	0.95	182441
65	2294	177040	1.28	179334
66	1441	172988	0.83	174429
67	1430	169626	0.84	171056
68	1443	164639	0.87	166082
69	1508	162163	0.92	163671
70	1302	157480	0.82	158782
71	1430	153646	0.92	155076
72	1332	149992	0.88	151324
73	1408	147587	0.94	148995
74	2016	146501	1.36	148517
75	1278	141648	0.89	142926
76	1384	139962	0.98	141346
77	1249	135650	0.91	136899
78	1187	132798	0.89	133985
79	1196	129207	0.92	130403
80	1139	125872	0.90	127011
81	1136	123273	0.91	124409
82	1269	121466	1.03	122735
83	1653	118456	1.38	120109
84	1158	116722	0.98	117880
85	1050	114280	0.91	115330
86	1106	109924	1.00	111030
87	1041	109961	0.94	111002
88	960	105835	0.90	106795
89	1096	103528	1.05	104624
90	980	101789	0.95	102769
91	1163	99095	1.16	100258
92	1607	96940	1.63	98547
93	989	95272	1.03	96261
94	903	93637	0.96	94540
95	916	91081	1.00	91997
96	895	88760	1.00	89655
97	814	86699	0.93	87513
98	899	85073	1.05	85972
99	829	82333	1.00	83162
100	936	80465	1.15	81401
101	1323	78840	1.65	80163
102	766	77620	0.98	78386
103	808	77434	1.03	78242
104	796	74681	1.05	75477
105	726	73414	0.98	74140
106	703	71944	0.97	72647
107	691	69784	0.98	70475
108	693	68131	1.01	68824
109	849	65924	1.27	66773
110	1081	64498	1.65	65579
111	680	63605	1.06	64285
112	682	63097	1.07	63779
113	713	61826	1.14	62539
114	659	61195	1.07	61854
115	621	57741	1.06	58362
116	649	56918	1.13	57567
117	661	55995	1.17	56656
118	678	54325	1.23	55003
119	960	53268	1.77	54228
120	611	52392	1.15	53003
121	607	52322	1.15	52929
122	619	51103	1.20	51722
123	526	50526	1.03	51052
124	552	48080	1.14	48632
125	501	47265	1.05	47766
126	567	46139	1.21	46706
127	554	44826	1.22	45380
128	767	43582	1.73	44349
129	555	43373	1.26	43928
130	546	42595	1.27	43141
131	513	41556	1.22	42069
132	489	41156	1.17	41645
133	489	39382	1.23	39871
134	442	38800	1.13	39242
135	455	37583	1.20	38038
136	509	37101	1.35	37610
137	599	36492	1.61	37091
138	426	35783	1.18	36209
139	463	34774	1.31	35237
140	436	33839	1.27	34275
141	402	33691	1.18	34093
142	364	32997	1.09	33361
143	373	31999	1.15	32372
144	376	31601	1.18	31977
145	390	31062	1.24	31452
146	507	30226	1.65	30733
147	363	29565	1.21	29928
148	362	28670	1.25	29032
149	314	27881	1.11	28195
150	314	27383	1.13	27697
151	293	22180	1.30	22473

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	371426	1314943	22.03	1686369
2	354240	1806662	16.39	2160902
3	261785	1534128	14.58	1795913
4	248091	1428344	14.80	1676435
5	137320	1719711	7.39	1857031
6	124870	1968947	5.96	2093817
7	102116	2237406	4.36	2339522
8	120372	2092680	5.44	2213052
9	81989	1999217	3.94	2081206
10	78561	1901182	3.97	1979743
11	89797	1809922	4.73	1899719
12	79198	1748363	4.33	1827561
13	73191	1716197	4.09	1789388
14	73593	1695188	4.16	1768781
15	71245	1674042	4.08	1745287
16	85841	1625354	5.02	1711195
17	69182	1596666	4.15	1665848
18	60073	1552665	3.72	1612738
19	67700	1524449	4.25	1592149
20	63392	1489211	4.08	1552603
21	59446	1460196	3.91	1519642
22	58555	1431626	3.93	1490181
23	57007	1413239	3.88	1470246
24	51007	1386786	3.55	1437793
25	47087	1364364	3.34	1411451
26	51380	1351617	3.66	1402997
27	44586	1316555	3.28	1361141
28	43524	1291917	3.26	1335441
29	49138	1264703	3.74	1313841
30	37375	1237915	2.93	1275290
31	41668	1218304	3.31	1259972
32	40522	1196920	3.27	1237442
33	36594	1168544	3.04	1205138
34	38999	1145976	3.29	1184975
35	39050	1128803	3.34	1167853
36	31214	1109624	2.74	1140838
37	33746	1084250	3.02	1117996
38	34282	1067579	3.11	1101861
39	33452	1046277	3.10	1079729
40	30122	1023451	2.86	1053573
41	31288	1006751	3.01	1038039
42	26509	989206	2.61	1015715
43	27562	968657	2.77	996219
44	32954	950563	3.35	983517
45	22994	935662	2.40	958656
