Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ntLink_8:9048810-9049249	Cluster_303	N	101	519	43	3	1
ntLink_8:9053104-9053561	Cluster_304	N	130	139	5	2	10
ntLink_8:9109688-9110310	Cluster_305	N	4886	7205	1242	12462	3388
ntLink_8:9149694-9150122	Cluster_306	N	1	3	2	198	0
ntLink_8:9159973-9160403	Cluster_307	N	3	111	143	2	12
ntLink_8:9161517-9162016	Cluster_308	N	6	73	282	66	144
ntLink_8:9162630-9163147	Cluster_309	N	0	36	3	478	1
ntLink_8:9170926-9171366	Cluster_310	N	1	351	4947	1	7
ntLink_8:9175822-9176341	Cluster_311	N	0	1	0	0	786
ntLink_8:9222025-9222707	Cluster_312	N	3063	3514	2544	2917	3314
ntLink_8:9238219-9238864	Cluster_313	N	2	112	2	457	1
ntLink_8:9239742-9240172	Cluster_314	N	2	12	3	346	1
ntLink_8:9240282-9240759	Cluster_315	N	1	202	97	2937	3
ntLink_8:9241037-9241480	Cluster_316	N	4	150	2	223	5
ntLink_8:9242601-9243917	Cluster_317	N	69	31	286	2304	33
ntLink_8:9244687-9245445	Cluster_318	N	19	5	152	1935	5
ntLink_8:9245592-9246297	Cluster_319	N	13	4	285	2082	4
ntLink_8:9246467-9247136	Cluster_320	N	77	29	689	1791	20
ntLink_8:9247212-9248388	Cluster_321	N	123	42	1242	4369	66
ntLink_8:9308019-9308447	Cluster_322	N	0	0	3	290	0
ntLink_8:9319748-9320176	Cluster_323	N	64	238	1	0	10
ntLink_8:9320432-9320879	Cluster_324	N	87	176	67	32	0
ntLink_8:9325313-9325749	Cluster_325	N	734	82	327	5	264
ntLink_8:9334145-9334659	Cluster_326	N	42	151	22	13	21
ntLink_8:9352091-9352524	Cluster_327	N	70	135	84	39	45
ntLink_8:9353432-9354140	Cluster_328	N	79	152	95	53	46
ntLink_8:9354596-9355025	Cluster_329	N	147	9	9	7	11
ntLink_8:9355699-9356574	Cluster_330	N	263	550	769	407	662
ntLink_8:9367124-9367554	Cluster_331	N	43	190	188	36	39
ntLink_8:9368176-9368709	Cluster_332	N	321	177	255	5	340
ntLink_8:9369334-9369755	Cluster_333	N	154	5	5	2	115
ntLink_8:9371689-9374006	Cluster_334	N	8450	7936	5662	3304	4201
ntLink_8:9375012-9375482	Cluster_335	N	102	218	297	19	74
ntLink_8:9377803-9378578	Cluster_336	N	20	42	149	67	19
ntLink_8:9461474-9461904	Cluster_337	N	71	6	52	45	4
ntLink_8:9461950-9462759	Cluster_338	N	363	34	498	230	29
ntLink_8:9463996-9464639	Cluster_339	N	142	15	252	119	10
ntLink_8:9473340-9473771	Cluster_340	N	160	48	67	62	13
ntLink_8:9474118-9474547	Cluster_341	N	51	93	202	109	142
ntLink_8:9475475-9475885	Cluster_342	N	98	1	3	4	1
ntLink_8:9487267-9488323	Cluster_343	N	256	215	577	346	215
ntLink_8:9488896-9490789	Cluster_344	N	3236	4470	2266	4504	4526
ntLink_8:9493911-9494338	Cluster_345	N	16	15	58	147	87
ntLink_8:9496732-9497524	Cluster_346	N	821	406	591	1565	68
ntLink_8:9502484-9503030	Cluster_347	N	1559	2523	1424	5262	1788
ntLink_8:9503096-9503570	Cluster_348	N	76	4	76	435	12
ntLink_8:9504439-9504839	Cluster_349	N	6	35	30	37	22
ntLink_8:9507583-9508009	Cluster_350	N	37	23	184	13	15
ntLink_8:9508977-9509405	Cluster_351	N	176	3	75	58	29
ntLink_8:9509911-9510706	Cluster_352	N	192	411	441	715	525
ntLink_8:9522313-9523098	Cluster_353	N	129	73	198	79	60
ntLink_8:9523541-9525107	Cluster_354	N	84	126	982	82	778
ntLink_8:9525223-9525708	Cluster_355	N	37	15	38	555	15
ntLink_8:9526891-9527329	Cluster_356	N	18	7	39	185	24
ntLink_8:9527610-9528038	Cluster_357	N	36	21	70	208	20
ntLink_8:9529556-9529985	Cluster_358	N	56	7	13	53	11
ntLink_8:9532563-9533022	Cluster_359	N	45	294	74	24	25
ntLink_8:9533143-9534405	Cluster_360	N	287	671	769	275	142
ntLink_8:9534499-9535012	Cluster_361	N	62	90	147	95	44
ntLink_8:9547232-9547659	Cluster_362	N	9	26	18	10	283
ntLink_8:9547685-9548138	Cluster_363	N	35	546	32	500	16
ntLink_8:9552519-9552949	Cluster_364	N	1	37	1	592	1
ntLink_8:9564870-9565285	Cluster_365	N	30	22	38	23	23
ntLink_8:9565833-9566257	Cluster_366	N	32	30	26	29	11
ntLink_8:9572610-9573624	Cluster_367	N	2902	1165	1065	2003	2985
ntLink_8:9574173-9574662	Cluster_368	N	111	149	74	221	115
ntLink_8:9575955-9576378	Cluster_369	N	82	101	52	39	35
ntLink_8:9576476-9576905	Cluster_370	N	3	9	240	53	4
ntLink_8:9577401-9578086	Cluster_371	N	13	19	3276	2468	17
ntLink_8:9579762-9580410	Cluster_372	N	103	30	102	82	41
ntLink_8:9590423-9592133	Cluster_373	N	53	1468	96	700	1707
ntLink_8:9592188-9592744	Cluster_374	N	27	74	32	108	60
ntLink_8:9594613-9595034	Cluster_375	N	29	9	70	43	56
ntLink_8:9595469-9595877	Cluster_376	N	27	73	25	40	220
ntLink_8:9596080-9597428	Cluster_377	N	92	163	118	278	1273
ntLink_8:9607283-9607711	Cluster_378	N	4	4	7	88	47
ntLink_8:9614386-9614888	Cluster_379	N	12	27	191	65	2
