,id,type
667,FUN_016745,gene
668,FUN_016792,gene
669,FUN_018506,gene
670,FUN_018203,gene
671,FUN_019406,gene
672,FUN_019433,gene
673,FUN_022013,gene
674,FUN_022170,gene
675,FUN_022237,gene
676,FUN_022258,gene
677,FUN_023673,gene
678,FUN_023020,gene
679,FUN_023186,gene
680,FUN_023423,gene
681,FUN_023553,gene
682,FUN_023575,gene
683,FUN_024001,gene
684,FUN_024778,gene
685,FUN_024368,gene
686,FUN_024557,gene
687,FUN_024562,gene
688,FUN_025528,gene
689,FUN_025252,gene
690,FUN_025744,gene
691,FUN_026184,gene
692,FUN_026380,gene
693,FUN_027831,gene
694,FUN_028314,gene
695,FUN_028470,gene
696,FUN_028508,gene
697,FUN_028554,gene
698,FUN_029171,gene
699,FUN_030196,gene
700,FUN_030201,gene
701,FUN_029362,gene
702,FUN_031754,gene
703,FUN_032033,gene
704,FUN_032049,gene
705,FUN_032468,gene
706,FUN_032958,gene
707,FUN_029323,gene
708,FUN_029891,gene
709,FUN_033883,gene
710,FUN_033912,gene
711,FUN_033941,gene
712,FUN_033996,gene
713,FUN_035640,gene
714,FUN_035809,gene
715,FUN_036106,gene
716,FUN_035058,gene
717,FUN_035233,gene
718,FUN_035494,gene
719,FUN_037232,gene
720,FUN_038080,gene
721,FUN_038160,gene
722,FUN_038163,gene
723,FUN_038392,gene
724,FUN_038632,gene
725,FUN_039323,gene
726,FUN_039268,gene
727,FUN_040692,gene
728,FUN_041556,gene
729,FUN_041704,gene
730,FUN_041810,gene
731,FUN_041862,gene
732,FUN_041870,gene
733,FUN_042607,gene
734,FUN_043600,gene
735,FUN_043290,gene
736,FUN_043322,gene
737,FUN_043365,gene
738,FUN_043384,gene
739,FUN_044025,gene
740,FUN_032699,gene
741,FUN_002508,gene
742,FUN_007103,gene
743,FUN_009030,gene
744,FUN_009548,gene
745,FUN_009564,gene
746,FUN_011572,gene
747,FUN_013793,gene
748,FUN_015073,gene
749,FUN_016979,gene
750,FUN_018284,gene
751,FUN_022186,gene
752,FUN_022211,gene
753,FUN_023361,gene
754,FUN_026670,gene
755,FUN_026674,gene
756,FUN_026712,gene
757,FUN_026981,gene
758,FUN_027757,gene
759,FUN_031531,gene
760,FUN_037802,gene
761,FUN_038778,gene
762,FUN_040854,gene
763,FUN_040054,gene
764,FUN_042048,gene
765,FUN_042010,gene
766,FUN_043283,gene
767,FUN_043465,gene
768,FUN_044009,gene
769,FUN_014620,gene
770,FUN_023197,gene
771,FUN_037067,gene
772,FUN_000192,gene
773,FUN_002372,gene
774,FUN_008382,gene
775,FUN_008639,gene
776,FUN_010924,gene
777,FUN_012388,gene
778,FUN_025951,gene
779,FUN_031703,gene
780,FUN_029881,gene
781,FUN_002424,gene
782,FUN_002453,gene
783,FUN_004240,gene
784,FUN_004512,gene
785,FUN_003163,gene
786,FUN_003378,gene
787,FUN_006744,gene
788,FUN_006801,gene
