transcript_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_002157-T1,0,0,1,0,1
FUN_026333-T1,37,0,2,0,0
FUN_033326-T1,0,0,0,0,0
FUN_009405-T1,0,0,8,0,45
FUN_040221-T1,405,350,236,319,189
FUN_000482-T1,80,24,52,39,60
FUN_001144-T1,3306,1953,1545,2540,1079
FUN_020401-T1,0,0,0,0,0
FUN_038506-T1,18,1118,1633,11,689
FUN_025206-T1,0,0,0,0,0
FUN_044182-T1,4,4,59,41,120
FUN_024246-T1,0,0,1,0,0
FUN_019162-T1,0,0,0,0,0
FUN_024015-T1,1451,1370,1264,2663,2054
FUN_027531-T1,9,9,16,7,6
FUN_022335-T1,22,14,19,12,8
FUN_042898-T1,716,4939,382,2153,2617
FUN_004246-T1,900,368,435,1192,274
FUN_010238-T1,0,0,0,0,0
FUN_004644-T1,57,5,3,20,26
FUN_023866-T1,0,0,0,0,0
FUN_030094-T1,0,4,6,43,8
FUN_035599-T1,393,115,123,80,124
FUN_018957-T1,0,0,4,0,4
FUN_040993-T1,16,63,11,16,30
FUN_008872-T1,3918,1666,2206,2584,3062
FUN_039320-T1,57,18,43,0,0
FUN_037593-T1,897,635,351,702,433
FUN_000888-T1,64,79,71,89,115
FUN_020443-T1,0,0,0,0,0
FUN_036289-T1,0,0,0,0,0
FUN_012867-T1,0,0,0,0,0
FUN_017772-T1,687,1044,631,975,1204
FUN_004661-T1,2210,777,1400,942,1386
FUN_004458-T1,1519,1962,1143,1798,1283
FUN_003860-T1,23,0,35,0,87
FUN_039773-T1,3170,1676,1323,2904,2702
FUN_006603-T1,441,490,206,534,191
FUN_015910-T1,0,0,0,0,0
FUN_005296-T1,335,208,96,419,274
FUN_016190-T1,167,610,59,1056,6067
FUN_027502-T1,2208,1311,606,6,388
FUN_022513-T1,236,36,97,100,145
